#GeneID,Locus,Locus tag,Protein Name
3639361,,"CAALFM_C100580WA","hypothetical protein CAALFM_C100580WA"
3639360,"TUF1","CAALFM_C100590WA","translation elongation factor Tu"
3639383,"APC1","CAALFM_C100600WA","anaphase promoting complex subunit 1"
3639382,"PSD1","CAALFM_C100610WA","phosphatidylserine decarboxylase 1"
3639381,"MOB2","CAALFM_C100620WA","Mob2p"
3639380,,"CAALFM_C100630WA","hypothetical protein CAALFM_C100630WA"
3639378,"RPO41","CAALFM_C100640CA","DNA-directed RNA polymerase"
3639377,"SNF7","CAALFM_C100650CA","ESCRT-III subunit protein"
3639376,,"CAALFM_C100660CA","t-SNARE syntaxin"
3639333,"UGA32","CAALFM_C100670CA","Uga32p"
3639332,"ASM3","CAALFM_C100680WA","Asm3p"
3639331,"RIC1","CAALFM_C100690WA","Ric1p"
3639330,,"CAALFM_C100700WA","hypothetical protein CAALFM_C100700WA"
3639329,"TUB2","CAALFM_C100710CA","beta-tubulin"
3639328,"CMP1","CAALFM_C100730CA","calcineurin catalytic subunit A"
3639327,"SPE1","CAALFM_C100740CA","ornithine decarboxylase"
3639326,"VPS27","CAALFM_C100750CA","ESCRT-0 subunit protein"
3639351,,"CAALFM_C100760WA","hypothetical protein CAALFM_C100760WA"
3639350,"ROT1","CAALFM_C100770CA","Rot1p"
3639349,"HGC1","CAALFM_C100780CA","cyclin"
3639348,,"CAALFM_C100790WA","hypothetical protein CAALFM_C100790WA"
3639347,"ERG2","CAALFM_C100800CA","C-8 sterol isomerase"
3639346,,"CAALFM_C100810WA","N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase catalytic subunit"
3639345,,"CAALFM_C100820WA","hypothetical protein CAALFM_C100820WA"
3639344,,"CAALFM_C100830WA","hypothetical protein CAALFM_C100830WA"
3639343,"NRM1","CAALFM_C100840CA","Nrm1p"
3639359,"IHD2","CAALFM_C100850WA","Ihd2p"
3639358,,"CAALFM_C100860WA","hypothetical protein CAALFM_C100860WA"
3639356,"LRO1","CAALFM_C100870WA","phospholipid:diacylglycerol acyltransferase"
3639355,,"CAALFM_C100880WA","hypothetical protein CAALFM_C100880WA"
3639354,,"CAALFM_C100890WA","ERMES complex Ca(2+)-binding regulatory GTPase"
3639352,"RRS1","CAALFM_C100900WA","Rrs1p"
3639284,,"CAALFM_C100910WA","hypothetical protein CAALFM_C100910WA"
3639283,,"CAALFM_C100920WA","hypothetical protein CAALFM_C100920WA"
3639282,"SIN3","CAALFM_C100930CA","transcriptional regulator"
30514957,"RPB11","CAALFM_C100940WA","DNA-directed RNA polymerase II core subunit"
3639281,"CDC5","CAALFM_C100950CA","polo kinase"
3639280,"SET1","CAALFM_C100960CA","histone methyltransferase"
30514958,,"CAALFM_C100970WA","hypothetical protein CAALFM_C100970WA"
30514959,,"CAALFM_C100980WA","hypothetical protein CAALFM_C100980WA"
3640179,"NMA111","CAALFM_C100990CA","Nma111p"
3640180,,"CAALFM_C101000CA","origin recognition complex subunit 6"
3640181,,"CAALFM_C101010WA","hypothetical protein CAALFM_C101010WA"
3640182,"HMT1","CAALFM_C101030WA","protein-arginine omega-N methyltransferase"
3640183,,"CAALFM_C101040WA","hypothetical protein CAALFM_C101040WA"
3640170,,"CAALFM_C101050CA","trans-2-enoyl-CoA reductase (NADPH)"
3640171,"MBF1","CAALFM_C101060WA","Mbf1p"
3640172,,"CAALFM_C101070CA","hypothetical protein CAALFM_C101070CA"
3640173,,"CAALFM_C101080WA","hypothetical protein CAALFM_C101080WA"
3640174,,"CAALFM_C101090CA","mitochondrial 37S ribosomal protein RSM27"
3640175,"CCH1","CAALFM_C101100WA","Cch1p"
3640177,"ZPR1","CAALFM_C101110CA","zinc finger-containing protein"
3640178,,"CAALFM_C101130WA","ubiquitin-binding SDF ubiquitin ligase complex subunit"
3640202,,"CAALFM_C101140CA","hypothetical protein CAALFM_C101140CA"
3640203,,"CAALFM_C101150CA","tRNA methyltransferase"
3640204,,"CAALFM_C101160CA","exosome non-catalytic core subunit"
3640205,"ZCF17","CAALFM_C101170CA","Zcf17p"
3640206,,"CAALFM_C101180CA","hypothetical protein CAALFM_C101180CA"
3640207,,"CAALFM_C101190CA","N,N-dimethylaniline monooxygenase"
3640208,"STB5","CAALFM_C101200WA","Stb5p"
3640209,,"CAALFM_C101210WA","hypothetical protein CAALFM_C101210WA"
3640210,,"CAALFM_C101220CA","hypothetical protein CAALFM_C101220CA"
3640211,"IFD3","CAALFM_C101240WA","Ifd3p"
3640212,,"CAALFM_C101250WA","hypothetical protein CAALFM_C101250WA"
3640214,"TRS20","CAALFM_C101260CA","TRAPP subunit"
3640215,"CTA9","CAALFM_C101270WA","Cta9p"
3640217,"MED22","CAALFM_C101280CA","Med22p"
3640184,,"CAALFM_C101290CA","hypothetical protein CAALFM_C101290CA"
3640185,,"CAALFM_C101300WA","hypothetical protein CAALFM_C101300WA"
3640187,"MRS7","CAALFM_C101320WA","Mrs7p"
3640188,"DUT1","CAALFM_C101330CA","bifunctional dITP/dUTP diphosphatase"
3640189,,"CAALFM_C101340CA","hypothetical protein CAALFM_C101340CA"
3640190,"TIF","CAALFM_C101350CA","translation initiation factor eIF4A"
3640191,,"CAALFM_C101360CA","glycogenin glucosyltransferase"
30514961,"RPS21B","CAALFM_C101370CA","ribosomal 40S subunit protein S21B"
3640235,"TRM2","CAALFM_C101380CA","Trm2p"
3640236,,"CAALFM_C101390CA","hypothetical protein CAALFM_C101390CA"
3640237,,"CAALFM_C101400CA","sphinganine kinase"
3640238,"CRL1","CAALFM_C101420CA","Rho family GTPase"
30514962,"POX18","CAALFM_C101440CA","Pox18p"
3640239,"ABC1","CAALFM_C101450WA","protein kinase"
3640240,,"CAALFM_C101460WA","hypothetical protein CAALFM_C101460WA"
3640241,,"CAALFM_C101470WA","mRNA-binding protein"
3640242,"RPS21","CAALFM_C101480CA","ribosomal 40S subunit protein S2"
3640226,,"CAALFM_C101490WA","hypothetical protein CAALFM_C101490WA"
3640229,,"CAALFM_C101510WA","hypothetical protein CAALFM_C101510WA"
3640231,"SOD2","CAALFM_C101520CA","superoxide dismutase"
3640232,,"CAALFM_C101530CA","arginine--tRNA ligase"
3640233,,"CAALFM_C101540WA","hypothetical protein CAALFM_C101540WA"
3640218,"VPS17","CAALFM_C101550WA","retromer subunit"
3640219,"SIZ1","CAALFM_C101560WA","SUMO ligase"
3640221,"RPB7","CAALFM_C101570CA","DNA-directed RNA polymerase II subunit"
3640222,,"CAALFM_C101580WA","mitochondrial 54S ribosomal protein YmL23"
3640223,,"CAALFM_C101590CA","DNA-directed RNA polymerase II core subunit"
3640224,"MRP20","CAALFM_C101600WA","mitochondrial 54S ribosomal protein YmL41"
3640225,,"CAALFM_C101610CA","hypothetical protein CAALFM_C101610CA"
3640193,,"CAALFM_C101620CA","hypothetical protein CAALFM_C101620CA"
3640194,,"CAALFM_C101630WA","hypothetical protein CAALFM_C101630WA"
3640195,"RPS42","CAALFM_C101640WA","ribosomal 40S subunit protein S4A"
3640196,"ISN1","CAALFM_C101650WA","IMP 5\\'-nucleotidase"
3640197,"ESP1","CAALFM_C101670CA","separase"
3640198,,"CAALFM_C101680CA","hypothetical protein CAALFM_C101680CA"
3640199,"LSC1","CAALFM_C101690CA","succinate--CoA ligase (GDP-forming) subunit alpha"
3640200,"ARP8","CAALFM_C101700WA","Arp8p"
3640201,,"CAALFM_C101710WA","hypothetical protein CAALFM_C101710WA"
3645414,"CTN1","CAALFM_C101740WA","carnitine O-acetyltransferase"
3645413,,"CAALFM_C101750WA","hypothetical protein CAALFM_C101750WA"
3645412,"FGR38","CAALFM_C101760WA","Fgr38p"
3645411,"MAK32","CAALFM_C101770WA","Mak32p"
3645409,"HOL4","CAALFM_C101780CA","Hol4p"
3645408,"SWI4","CAALFM_C101790WA","SBF complex DNA-binding subunit"
3645407,,"CAALFM_C101800WA","hypothetical protein CAALFM_C101800WA"
3645436,"UGA2","CAALFM_C101810CA","Uga2p"
3645435,,"CAALFM_C101820CA","TFIIH complex kinase subunit"
3645433,"UBC8","CAALFM_C101830CA","E2 ubiquitin-conjugating protein"
3645432,,"CAALFM_C101840CA","hypothetical protein CAALFM_C101840CA"
3645431,,"CAALFM_C101850CA","hypothetical protein CAALFM_C101850CA"
3645430,,"CAALFM_C101860WA","hypothetical protein CAALFM_C101860WA"
3645429,"CYS4","CAALFM_C101870CA","cystathionine beta-synthase"
3645428,"PTR3","CAALFM_C101880CA","Ptr3p"
3645427,,"CAALFM_C101890CA","hypothetical protein CAALFM_C101890CA"
3645426,,"CAALFM_C101900CA","hypothetical protein CAALFM_C101900CA"
3645425,,"CAALFM_C101910WA","hypothetical protein CAALFM_C101910WA"
3645424,"ROA1","CAALFM_C101920WA","Roa1p"
30514966,,"CAALFM_C101930WA","hypothetical protein CAALFM_C101930WA"
3645422,,"CAALFM_C101940CA","signal recognition particle subunit"
3645421,,"CAALFM_C101950CA","hypothetical protein CAALFM_C101950CA"
30514967,,"CAALFM_C101970WA","hypothetical protein CAALFM_C101970WA"
3645420,"HGT1","CAALFM_C101980WA","Hgt1p"
3645419,"HSP30","CAALFM_C101990WA","Hsp30p"
3645418,,"CAALFM_C102000WA","hypothetical protein CAALFM_C102000WA"
3645417,"ZCF24","CAALFM_C102010CA","Zcf24p"
3645416,,"CAALFM_C102020WA","5-formyltetrahydrofolate cyclo-ligase"
3645415,,"CAALFM_C102030CA","hypothetical protein CAALFM_C102030CA"
3644586,,"CAALFM_C102040CA","putative ubiquitin-specific protease"
3644588,"PHO91","CAALFM_C102050CA","Pho91p"
30514968,,"CAALFM_C102060WA","hypothetical protein CAALFM_C102060WA"
3644589,"HSP31","CAALFM_C102070WA","Hsp31p"
3644590,"SET6","CAALFM_C102080WA","Set6p"
3644577,,"CAALFM_C102090CA","hypothetical protein CAALFM_C102090CA"
3644578,,"CAALFM_C102100WA","hypothetical protein CAALFM_C102100WA"
3644579,"HGT2","CAALFM_C102110CA","Hgt2p"
3644580,"SHA3","CAALFM_C102120CA","putative serine/threonine protein kinase"
3644581,"GAL1","CAALFM_C102130CA","galactokinase"
3644583,"GAL10","CAALFM_C102150WA","bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase"
3644584,,"CAALFM_C102160WA","TRAPP subunit"
3644585,"GAL102","CAALFM_C102170CA","Gal102p"
3644591,"GAL7","CAALFM_C102180WA","UDP-glucose:hexose-1-phosphate uridylyltransferase"
3644592,"ABP140","CAALFM_C102190WA","Abp140p"
3644593,,"CAALFM_C102200CA","hypothetical protein CAALFM_C102200CA"
3644594,,"CAALFM_C102210WA","hypothetical protein CAALFM_C102210WA"
3644595,,"CAALFM_C102220CA","NADHX epimerase"
3644596,"SEP7","CAALFM_C102230WA","septin"
3644597,,"CAALFM_C102240WA","karyopherin beta"
3644598,"CWH8","CAALFM_C102250WA","Cwh8p"
3644565,"AGE3","CAALFM_C102260CA","Age3p"
3644566,,"CAALFM_C102270CA","hypothetical protein CAALFM_C102270CA"
3644567,"PSY2","CAALFM_C102280CA","Psy2p"
3644568,,"CAALFM_C102290CA","ATP synthase complex assembly protein"
3644569,,"CAALFM_C102300WA","prefolding complex chaperone subunit"
3644570,,"CAALFM_C102310CA","chromatin DNA-binding EKC/KEOPS complex subunit"
3644572,,"CAALFM_C102320CA","bifunctional fructose-2,6-bisphosphate 2-phosphatase/6-phosphofructo-2-kinase"
30514969,,"CAALFM_C102330CA","ribosomal 60S subunit protein L26B"
3644573,"TIM21","CAALFM_C102350WA","Tim21p"
3644575,"PGA5","CAALFM_C102360CA","1,3-beta-glucanosyltransferase"
3644576,,"CAALFM_C102370CA","hypothetical protein CAALFM_C102370CA"
3636790,,"CAALFM_C102380CA","Arf family GTPase"
3636791,,"CAALFM_C102390WA","hypothetical protein CAALFM_C102390WA"
3636792,"MNN11","CAALFM_C102400CA","alpha-1,6-mannosyltransferase"
3636793,,"CAALFM_C102410CA","hypothetical protein CAALFM_C102410CA"
3636794,"GSC1","CAALFM_C102420CA","1,3-beta-glucan synthase"
3636846,,"CAALFM_C102430CA","hypothetical protein CAALFM_C102430CA"
3636848,,"CAALFM_C102440CA","ubiquitin-specific protease"
3636849,,"CAALFM_C102450CA","hypothetical protein CAALFM_C102450CA"
3636850,"RPL10","CAALFM_C102460WA","ribosomal 60S subunit protein L10"
3636851,,"CAALFM_C102470WA","hypothetical protein CAALFM_C102470WA"
3636852,"PMM1","CAALFM_C102480WA","phosphomannomutase"
3636853,,"CAALFM_C102490CA","hypothetical protein CAALFM_C102490CA"
3636795,,"CAALFM_C102500WA","hypothetical protein CAALFM_C102500WA"
3636796,,"CAALFM_C102510WA","hypothetical protein CAALFM_C102510WA"
3636797,"SCW4","CAALFM_C102520WA","Scw4p"
3636798,"DIP5","CAALFM_C102530CA","Dip5p"
3636801,"PUT4","CAALFM_C102570CA","Put4p"
3636802,"HNM4","CAALFM_C102580WA","Hnm4p"
3636803,"SNZ1","CAALFM_C102590CA","pyridoxine biosynthesis protein"
3636812,"SNO1","CAALFM_C102600WA","putative pyridoxal 5\\'-phosphate synthase"
3636813,"IML1","CAALFM_C102610WA","Iml1p"
3636815,"HOM6","CAALFM_C102620CA","homoserine dehydrogenase"
3636816,"EXG2","CAALFM_C102630CA","glucan exo-1,3-beta-glucosidase"
3636817,"TOM20","CAALFM_C102640CA","Tom20p"
3636818,,"CAALFM_C102650WA","hypothetical protein CAALFM_C102650WA"
3636820,"MGM101","CAALFM_C102660CA","Mgm101p"
3636821,,"CAALFM_C102670CA","hypothetical protein CAALFM_C102670CA"
3636822,,"CAALFM_C102680CA","hypothetical protein CAALFM_C102680CA"
3636823,,"CAALFM_C102690CA","hypothetical protein CAALFM_C102690CA"
30514972,,"CAALFM_C102700CA","hypothetical protein CAALFM_C102700CA"
3636824,"FRS2","CAALFM_C102710WA","phenylalanine--tRNA ligase subunit alpha"
3636825,,"CAALFM_C102720WA","hypothetical protein CAALFM_C102720WA"
3636826,,"CAALFM_C102730WA","hypothetical protein CAALFM_C102730WA"
3636827,,"CAALFM_C102740CA","hypothetical protein CAALFM_C102740CA"
3636828,,"CAALFM_C102750CA","hypothetical protein CAALFM_C102750CA"
3636870,,"CAALFM_C102760WA","guanine nucleotide exchange factor"
30514973,,"CAALFM_C102770WA","hypothetical protein CAALFM_C102770WA"
3636871,,"CAALFM_C102780WA","carboxymethylenebutenolidase"
3636872,"TIF34","CAALFM_C102790WA","translation initiation factor eIF3 subunit i"
3636873,,"CAALFM_C102800WA","hypothetical protein CAALFM_C102800WA"
3636874,"RAD16","CAALFM_C102810WA","DNA repair protein"
3636875,"LYS2","CAALFM_C102820WA","L-aminoadipate-semialdehyde dehydrogenase"
3636876,,"CAALFM_C102830WA","hypothetical protein CAALFM_C102830WA"
3636877,"PDE2","CAALFM_C102840WA","3\\',5\\'-cyclic-nucleotide phosphodiesterase"
3636862,,"CAALFM_C102850WA","hypothetical protein CAALFM_C102850WA"
3636863,"YKT6","CAALFM_C102860CA","palmitoyltransferase"
3636864,"YPT7","CAALFM_C102870WA","Ypt7p"
3636866,"MIA40","CAALFM_C102880CA","Mia40p"
3636867,,"CAALFM_C102890CA","hypothetical protein CAALFM_C102890CA"
3636869,,"CAALFM_C102900CA","mRNA splicing protein"
3636829,,"CAALFM_C102910CA","protein kinase regulatory subunit"
3636830,"CDC73","CAALFM_C102920WA","Cdc73p"
3636831,"MST1","CAALFM_C102930CA","threonine--tRNA ligase"
3636832,,"CAALFM_C102940CA","hypothetical protein CAALFM_C102940CA"
3636833,,"CAALFM_C102950WA","hypothetical protein CAALFM_C102950WA"
3636834,,"CAALFM_C102960CA","hypothetical protein CAALFM_C102960CA"
3636835,,"CAALFM_C102970WA","hypothetical protein CAALFM_C102970WA"
3636836,"GOR1","CAALFM_C102980WA","glyoxylate reductase"
3636837,"XOG1","CAALFM_C102990CA","glucan 1,3-beta-glucosidase"
3636838,"HOL1","CAALFM_C103000WA","Hol1p"
3636839,"RPP1A","CAALFM_C103010WA","ribosomal protein P1A"
3636841,"RPL13","CAALFM_C103020CA","ribosomal 60S subunit protein L13A"
30514974,"RPS16A","CAALFM_C103030WA","ribosomal 40S subunit protein S16A"
3636842,,"CAALFM_C103040WA","hypothetical protein CAALFM_C103040WA"
3636843,,"CAALFM_C103050WA","hypothetical protein CAALFM_C103050WA"
3636845,"TSR2","CAALFM_C103060CA","Tsr2p"
3636922,"ORC1","CAALFM_C103070CA","origin recognition complex subunit 1"
3636923,"TEM1","CAALFM_C103080CA","Ras family GTPase"
3636924,"RPS1","CAALFM_C103090WA","ribosomal 40S subunit protein S1B"
3636925,,"CAALFM_C103100WA","hypothetical protein CAALFM_C103100WA"
30514975,"RPL6","CAALFM_C103110WA","ribosomal 60S subunit protein L6B"
3636926,,"CAALFM_C103120WA","hypothetical protein CAALFM_C103120WA"
3636928,"GGA2","CAALFM_C103130CA","phosphatidylinositol 4-phosphate-binding protein"
3636929,,"CAALFM_C103140WA","hypothetical protein CAALFM_C103140WA"
30514976,,"CAALFM_C103150CA","hypothetical protein CAALFM_C103150CA"
3636804,"COQ4","CAALFM_C103160CA","ubiquinone biosynthesis protein"
3636805,,"CAALFM_C103170CA","hypothetical protein CAALFM_C103170CA"
3636806,,"CAALFM_C103180WA","lipoyl(octanoyl) transferase"
30514977,"ECM33","CAALFM_C103190CA","Ecm33p"
3636808,"ARO80","CAALFM_C103200CA","Aro80p"
3636809,"CDC12","CAALFM_C103210CA","septin"
3636810,"BMH1","CAALFM_C103220CA","14-3-3 family protein"
3636811,"ARX1","CAALFM_C103230CA","putative hydrolase"
3636895,,"CAALFM_C103240WA","hypothetical protein CAALFM_C103240WA"
3636897,"SPP1","CAALFM_C103250CA","Spp1p"
3636898,,"CAALFM_C103260WA","ssDNA-dependent ATPase"
3636900,,"CAALFM_C103270WA","putative peptide hydrolase"
3636901,,"CAALFM_C103280WA","mitochondrial 37S ribosomal protein RSM24"
3636902,"NGG1","CAALFM_C103290WA","histone acetyltransferase"
3636855,"MAS1","CAALFM_C103300CA","Mas1p"
3636856,,"CAALFM_C103310WA","hypothetical protein CAALFM_C103310WA"
3636858,"EHD3","CAALFM_C103320CA","Ehd3p"
3636859,,"CAALFM_C103330CA","hypothetical protein CAALFM_C103330CA"
3636860,"SEC62","CAALFM_C103340CA","Sec63 complex subunit"
3636888,"RLI1","CAALFM_C103350CA","Fe-S cluster-binding ribosome biosynthesis protein"
3636889,,"CAALFM_C103360WA","chromatin-remodeling ATPase"
3636891,,"CAALFM_C103370WA","polyadenylate-binding protein"
3636892,"TPS2","CAALFM_C103380WA","trehalose-phosphatase"
3636894,"EHT1","CAALFM_C103390WA","medium-chain fatty acid ethyl ester synthase/esterase"
3636904,,"CAALFM_C103400WA","hypothetical protein CAALFM_C103400WA"
3636905,,"CAALFM_C103410WA","hypothetical protein CAALFM_C103410WA"
3636906,,"CAALFM_C103430WA","triglyceride lipase"
3636908,,"CAALFM_C103440CA","hypothetical protein CAALFM_C103440CA"
3636910,,"CAALFM_C103450CA","hypothetical protein CAALFM_C103450CA"
3636911,,"CAALFM_C103460CA","hypothetical protein CAALFM_C103460CA"
3636912,,"CAALFM_C103470CA","putative serine/threonine protein kinase"
3636913,"AGE1","CAALFM_C103480CA","Age1p"
3636914,,"CAALFM_C103490WA","hypothetical protein CAALFM_C103490WA"
3636915,"YPT1","CAALFM_C103500WA","Rab family GTPase"
3636916,,"CAALFM_C103510CA","hypothetical protein CAALFM_C103510CA"
3636917,"RPN3","CAALFM_C103520WA","proteasome regulatory particle lid subunit"
3636918,"MED17","CAALFM_C103530WA","Med17p"
3636920,,"CAALFM_C103540CA","hypothetical protein CAALFM_C103540CA"
3636878,"COQ6","CAALFM_C103550CA","putative N,N-dimethylaniline monooxygenase"
3636879,"SUA71","CAALFM_C103560CA","transcription factor TFIIB"
30514980,,"CAALFM_C103580WA","hypothetical protein CAALFM_C103580WA"
3636880,,"CAALFM_C103600WA","dolichyl-diphosphooligosaccharide-protein glycotransferase"
3636881,"IMP1","CAALFM_C103610CA","endopeptidase catalytic subunit"
30514981,,"CAALFM_C103620CA","hypothetical protein CAALFM_C103620CA"
3636882,,"CAALFM_C103630WA","hypothetical protein CAALFM_C103630WA"
3636883,"HFL1","CAALFM_C103640CA","DNA polymerase epsilon noncatalytic subunit"
3636884,"MRPL27","CAALFM_C103650CA","mitochondrial 54S ribosomal protein YmL27"
30514982,,"CAALFM_C103660WA","hypothetical protein CAALFM_C103660WA"
3636885,"DAO1","CAALFM_C103670CA","Dao1p"
3636886,"ENG1","CAALFM_C103680WA","endo-1,3(4)-beta-glucanase"
3648426,,"CAALFM_C103690WA","hypothetical protein CAALFM_C103690WA"
3648218,"MSB1","CAALFM_C103710CA","Msb1p"
3648216,,"CAALFM_C103720CA","hypothetical protein CAALFM_C103720CA"
3644692,"MNS1","CAALFM_C103730CA","mannosyl-oligosaccharide 1,2-alpha-mannosidase"
3644691,"WAR1","CAALFM_C103740WA","War1p"
3644690,,"CAALFM_C103750WA","hypothetical protein CAALFM_C103750WA"
3644689,"STR2","CAALFM_C103760CA","cystathionine gamma-synthase"
3644688,"SKO1","CAALFM_C103770WA","Sko1p"
3644687,"HMG1","CAALFM_C103780CA","hydroxymethylglutaryl-CoA reductase (NADPH)"
3644682,,"CAALFM_C103790CA","peptidylprolyl isomerase"
3644681,"RPP1","CAALFM_C103800WA","RNA-binding RNA processing protein"
3644680,"ELA1","CAALFM_C103810CA","elongin A"
3644679,"PDR16","CAALFM_C103820WA","phosphatidylinositol transporter"
3644678,,"CAALFM_C103830CA","exosome non-catalytic core subunit"
30514984,,"CAALFM_C103840WA","hypothetical protein CAALFM_C103840WA"
3646406,"BNI4","CAALFM_C103860CA","Bni4p"
3646407,,"CAALFM_C103870CA","hypothetical protein CAALFM_C103870CA"
3646409,,"CAALFM_C103880CA","hypothetical protein CAALFM_C103880CA"
6335419,,"CAALFM_C103890WA","hypothetical protein CAALFM_C103890WA"
3646411,"SEN15","CAALFM_C103900WA","Sen15p"
3646412,,"CAALFM_C103910CA","hypothetical protein CAALFM_C103910CA"
3646413,,"CAALFM_C103920CA","palmitoyltransferase"
3646414,,"CAALFM_C103930WA","hypothetical protein CAALFM_C103930WA"
3646415,,"CAALFM_C103940WA","succinate dehydrogenase membrane anchor subunit"
3646417,,"CAALFM_C103950CA","hypothetical protein CAALFM_C103950CA"
3646418,,"CAALFM_C103960CA","hypothetical protein CAALFM_C103960CA"
3646423,"SPC19","CAALFM_C103980WA","Spc19p"
3646424,,"CAALFM_C103990WA","hypothetical protein CAALFM_C103990WA"
3646425,"KTR4","CAALFM_C104000CA","putative mannosyltransferase"
3646426,,"CAALFM_C104010CA","hypothetical protein CAALFM_C104010CA"
3646427,"CSH1","CAALFM_C104020CA","Csh1p"
3646428,,"CAALFM_C104030WA","aspartate--tRNA ligase"
3646429,,"CAALFM_C104040CA","RNA-binding RNA processing protein"
3646420,"MFALPHA","CAALFM_C104050CA","mating pheromone alpha"
3644694,"IFI3","CAALFM_C104060WA","Ifi3p"
3644695,"BET4","CAALFM_C104070CA","Rab geranylgeranyltransferase"
3644696,"MAD2","CAALFM_C104080WA","spindle checkpoint protein"
3644697,,"CAALFM_C104090CA","hypothetical protein CAALFM_C104090CA"
3644698,"POR1","CAALFM_C104100CA","porin"
3644699,,"CAALFM_C104110WA","lysophosphatidic acid acyltransferase"
3644701,,"CAALFM_C104120CA","U2 snRNP complex subunit"
3644702,"ERB1","CAALFM_C104130WA","Erb1p"
3644703,"IFD6","CAALFM_C104140WA","Ifd6p"
3644704,,"CAALFM_C104150CA","hypothetical protein CAALFM_C104150CA"
3644714,,"CAALFM_C104160CA","putative ADP-ribose 1\\'\\'-phosphate phosphatase"
3644715,"HTA2","CAALFM_C104170CA","histone H2A"
3644716,,"CAALFM_C104180WA","hypothetical protein CAALFM_C104180WA"
3644717,,"CAALFM_C104190CA","hypothetical protein CAALFM_C104190CA"
3644718,,"CAALFM_C104200CA","nucleoporin"
3644719,"CDC3","CAALFM_C104210CA","septin"
3644721,,"CAALFM_C104220CA","hypothetical protein CAALFM_C104220CA"
3644722,,"CAALFM_C104230WA","proteasome regulatory particle lid subunit"
3644705,"HHF1","CAALFM_C104240CA","histone"
3644707,"HHT21","CAALFM_C104260WA","Hht21p"
3644708,,"CAALFM_C104270CA","hypothetical protein CAALFM_C104270CA"
3644709,,"CAALFM_C104280CA","GPI-anchor transamidase"
3644710,"ACS2","CAALFM_C104290CA","acetate--CoA ligase"
3644711,"SSA2","CAALFM_C104300CA","Hsp70 family chaperone"
3644712,"GIG1","CAALFM_C104310CA","Gig1p"
3644713,"GPM2","CAALFM_C104320WA","Gpm2p"
3644684,"RPN4","CAALFM_C104330WA","stress-regulated transcription factor"
3644685,,"CAALFM_C104340CA","hypothetical protein CAALFM_C104340CA"
3647996,,"CAALFM_C104350CA","hypothetical protein CAALFM_C104350CA"
30514985,,"CAALFM_C104360CA","hypothetical protein CAALFM_C104360CA"
3647994,,"CAALFM_C104370CA","mitochondrial 37S ribosomal protein RSM18"
3647993,"SIT4","CAALFM_C104380WA","type 2A-related serine/threonine-protein phosphatase"
3647991,"NOP4","CAALFM_C104390CA","mRNA-binding ribosome biosynthesis protein"
3647990,"APE2","CAALFM_C104400CA","metallo-aminopeptidase"
3647989,"ESS1","CAALFM_C104410CA","peptidylprolyl isomerase"
3647988,"URA6","CAALFM_C104420CA","bifunctional uridylate/adenylate kinase"
30514986,,"CAALFM_C104430CA","sepiapterin reductase family protein"
3646138,,"CAALFM_C104440WA","hypothetical protein CAALFM_C104440WA"
3647986,"FMA1","CAALFM_C104450CA","Fma1p"
3646140,,"CAALFM_C104460CA","hypothetical protein CAALFM_C104460CA"
3646142,,"CAALFM_C104470CA","hypothetical protein CAALFM_C104470CA"
3646144,"TUS1","CAALFM_C104480CA","Rho family guanine nucleotide exchange factor"
3646145,,"CAALFM_C104490WA","hypothetical protein CAALFM_C104490WA"
3646146,"ICL1","CAALFM_C104500WA","isocitrate lyase 1"
3646147,,"CAALFM_C104510WA","hypothetical protein CAALFM_C104510WA"
3646148,"PHO85","CAALFM_C104520CA","cyclin-dependent serine/threonine-protein kinase"
3646149,,"CAALFM_C104530CA","tRNA (uracil) methyltransferase"
3646150,"VPS16","CAALFM_C104540CA","tethering complex subunit"
3646151,"ELC1","CAALFM_C104550WA","elongin C"
3646130,,"CAALFM_C104560WA","ubiquitin-protein ligase"
3646131,"CHL4","CAALFM_C104570CA","Chl4p"
3646132,,"CAALFM_C104580CA","hypothetical protein CAALFM_C104580CA"
30514987,,"CAALFM_C104590WA","hypothetical protein CAALFM_C104590WA"
3646133,,"CAALFM_C104600CA","hypothetical protein CAALFM_C104600CA"
3646134,"ATP1","CAALFM_C104610WA","F1F0 ATP synthase subunit alpha"
3646135,,"CAALFM_C104620WA","hypothetical protein CAALFM_C104620WA"
3644762,,"CAALFM_C104630CA","putative aminophospholipid-translocating P4-type ATPase"
3644761,,"CAALFM_C104640WA","triacylglycerol lipase"
3644760,"DUR3","CAALFM_C104650WA","Dur3p"
3644771,"DUR1,2","CAALFM_C104660WA","bifunctional urea carboxylase/allophanate hydrolase"
3644770,"HAT1","CAALFM_C104670WA","histone acetyltransferase catalytic subunit"
3644769,"PIL1","CAALFM_C104680WA","lipid-binding protein"
3644767,,"CAALFM_C104690CA","hypothetical protein CAALFM_C104690CA"
3644766,,"CAALFM_C104700CA","hypothetical protein CAALFM_C104700CA"
3644764,,"CAALFM_C104710CA","hypothetical protein CAALFM_C104710CA"
30514988,,"CAALFM_C104720WA","hypothetical protein CAALFM_C104720WA"
3644763,"LYS21","CAALFM_C104730CA","homocitrate synthase"
3644780,"LPG20","CAALFM_C104740WA","aldo-keto reductase superfamily protein"
