ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSDARG00000015343	406762	pgd	phosphogluconate dehydrogenase
ENSDARG00000015349	541486	mfge8a	milk fat globule EGF and factor V/VIII domain containing a
ENSDARG00000015352	323464	lsg1	large 60S subunit nuclear export GTPase 1
ENSDARG00000015355	564241	fosl1a	FOS like 1, AP-1 transcription factor subunit a
ENSDARG00000015356	100913078	fcho1	FCH and mu domain containing endocytic adaptor 1
ENSDARG00000015374	393326	st3gal3a	ST3 beta-galactoside alpha-2,3-sialyltransferase 3a
ENSDARG00000015385	550451	ndufs3	NADH:ubiquinone oxidoreductase core subunit S3
ENSDARG00000015392	321931	dhx15	DEAH (Asp-Glu-Ala-His) box helicase 15
ENSDARG00000015394	445035	thoc7	THO complex 7
ENSDARG00000015399	566407	foxf1	forkhead box F1
ENSDARG00000015404	393692	arl3l2	ADP ribosylation factor like GTPase 3, like 2
ENSDARG00000015422	558042	ppil1	peptidylprolyl isomerase (cyclophilin)-like 1
ENSDARG00000015425	550467	slc24a4a	solute carrier family 24 member 4a
ENSDARG00000015427	192302	hdac1	histone deacetylase 1
ENSDARG00000015445	436680	lim2.4	lens intrinsic membrane protein 2.4
ENSDARG00000015449	797512	fut8a	fucosyltransferase 8a (alpha (1,6) fucosyltransferase)
ENSDARG00000015460	323197	racgap1	Rac GTPase activating protein 1
ENSDARG00000015471	393283	chd1l	chromodomain helicase DNA binding protein 1-like
ENSDARG00000015472	118437	gpc4	glypican 4
ENSDARG00000015474	373881	ppp2r5ea	protein phosphatase 2, regulatory subunit B', epsilon isoform a
ENSDARG00000015476	567336	iqch	IQ motif containing H
ENSDARG00000015482	503531	zgc:113518	zgc:113518
ENSDARG00000015495	117603	klf3	Kruppel-like factor 3 (basic)
ENSDARG00000015502	393392	adam10b	ADAM metallopeptidase domain 10b
ENSDARG00000015506	100006043	klf5a	Kruppel-like factor 5a
ENSDARG00000015515	286833	mc4r	melanocortin 4 receptor
ENSDARG00000015524	140620	prps1a	phosphoribosyl pyrophosphate synthetase 1A
ENSDARG00000015527	101882206	LOC101882206	myeloid-associated differentiation marker-like protein 2
ENSDARG00000015531	557494	slc4a8	solute carrier family 4 member 8
ENSDARG00000015536	567154	sox6	SRY-box transcription factor 6
ENSDARG00000015537	550403	gad2	glutamate decarboxylase 2
ENSDARG00000015538	406478	znf207a	zinc finger protein 207, a
ENSDARG00000015540	58026	psen2	presenilin 2
ENSDARG00000015543	448856	s100a1	S100 calcium binding protein A1
ENSDARG00000015546	393982	alpl	alkaline phosphatase, biomineralization associated
ENSDARG00000015551	58108	fth1a	ferritin, heavy polypeptide 1a
ENSDARG00000015552	569383	phactr4a	phosphatase and actin regulator 4a
ENSDARG00000015554	58077	zic2a	zic family member 2 (odd-paired homolog, Drosophila), a
ENSDARG00000015557	445149	zgc:100829	zgc:100829
ENSDARG00000015559	325423	fstl1a	follistatin-like 1a
ENSDARG00000015563	NA	NA	NA
ENSDARG00000015566	553189	dnmt3ab	DNA (cytosine-5-)-methyltransferase 3 alpha b
ENSDARG00000015567	30096	zic1	zic family member 1 (odd-paired homolog, Drosophila)
ENSDARG00000015575	324340	cyp3c1	cytochrome P450, family 3, subfamily c, polypeptide 1
ENSDARG00000015576	550570	itprip	inositol 1,4,5-trisphosphate receptor interacting protein
ENSDARG00000015589	557905	ankrd33bb	ankyrin repeat domain 33Bb
ENSDARG00000015592	100005110	c1ql2	complement component 1, q subcomponent-like 2
ENSDARG00000015607	NA	NA	NA
ENSDARG00000015610	393882	tubg1	tubulin, gamma 1
ENSDARG00000015611	393109	rasl11b	RAS-like, family 11, member B
ENSDARG00000015623	559295	ada2b	adenosine deaminase 2b
ENSDARG00000015627	562667	rgs6	regulator of G protein signaling 6
ENSDARG00000015628	403085	psmd10	proteasome 26S subunit, non-ATPase 10
ENSDARG00000015638	550271	gemin2	gem (nuclear organelle) associated protein 2
ENSDARG00000015649	474323	rap2c	RAP2C, member of RAS oncogene family
ENSDARG00000015653	449958	tnip1	TNFAIP3 interacting protein 1
ENSDARG00000015654	553469	ca15a	carbonic anhydrase XVa
ENSDARG00000015657	406459	zgc:77112	zgc:77112
ENSDARG00000015662	406739	pla2g12b	phospholipase A2, group XIIB
ENSDARG00000015674	30526	msx3	muscle segment homeobox 3
ENSDARG00000015676	541444	nmd3	NMD3 ribosome export adaptor
ENSDARG00000015678	NA	NA	NA
ENSDARG00000015681	30664	gsk3ab	glycogen synthase kinase 3 alpha b
ENSDARG00000015686	503761	bmp6	bone morphogenetic protein 6
ENSDARG00000015707	80972	dvl3a	dishevelled segment polarity protein 3a
ENSDARG00000015709	327417	hsd17b12a	hydroxysteroid (17-beta) dehydrogenase 12a
ENSDARG00000015722	322008	kctd5a	potassium channel tetramerization domain containing 5a
ENSDARG00000015731	100534737	ano5a	anoctamin 5a
ENSDARG00000015732	558687	cax2	cation/H+ exchanger protein 2
ENSDARG00000015734	493784	aicda	activation-induced cytidine deaminase
ENSDARG00000015747	445178	aarsd1	alanyl-tRNA synthetase domain containing 1
ENSDARG00000015749	777758	hps3	HPS3 biogenesis of lysosomal organelles complex 2 subunit 1
ENSDARG00000015752	553615	zap70	zeta chain of T cell receptor associated protein kinase 70
ENSDARG00000015757	406850	tmem50a	transmembrane protein 50A
ENSDARG00000015759	406802	tspan7	tetraspanin 7
ENSDARG00000015765	449926	iah1	isoamyl acetate hydrolyzing esterase 1 (putative)
ENSDARG00000015780	402888	ankrd46b	ankyrin repeat domain 46b
ENSDARG00000015790	30468	atp1b3a	ATPase Na+/K+ transporting subunit beta 3a
ENSDARG00000015793	338317	creb3l1	cAMP responsive element binding protein 3-like 1
ENSDARG00000015803	407723	smcr8b	Smith-Magenis syndrome chromosome region, candidate 8b
ENSDARG00000015805	553350	cgnl1	cingulin-like 1
ENSDARG00000015807	100001531	rab22a	RAB22A, member RAS oncogene family
ENSDARG00000015822	406840	sesn3	sestrin 3
ENSDARG00000015823	406684	vps26b	VPS26, retromer complex component B
ENSDARG00000015824	558474	lemd3	LEM domain containing 3
ENSDARG00000015829	566858	mov10a	Mov10 RISC complex RNA helicase a
ENSDARG00000015835	393732	eif4e2rs1	eukaryotic translation initiation factor 4E family member 2 related sequence 1
ENSDARG00000015851	407733	pnn	pinin, desmosome associated protein
ENSDARG00000015854	100170938	chata	choline O-acetyltransferase a
ENSDARG00000015856	436633	slc25a40	solute carrier family 25 member 40
ENSDARG00000015860	565063	mtmr9	myotubularin related protein 9
ENSDARG00000015862	415196	rpl5b	ribosomal protein L5b
ENSDARG00000015863	322950	socs6b	suppressor of cytokine signaling 6b
ENSDARG00000015866	322327	apoa2	apolipoprotein A-II
ENSDARG00000015869	557279	slc22a16	solute carrier family 22 member 16
ENSDARG00000015876	559419	npas1	neuronal PAS domain protein 1
ENSDARG00000015879	60637	pax8	paired box 8
ENSDARG00000015887	791742	b2ml	beta-2-microglobulin, like
ENSDARG00000015889	334307	zc3h15	zinc finger CCCH-type containing 15
ENSDARG00000015890	114467	mafa	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog a (paralog a)
ENSDARG00000015891	100499203	ptprea	protein tyrosine phosphatase receptor type Ea
ENSDARG00000015901	562434	ptbp2b	polypyrimidine tract binding protein 2b
ENSDARG00000015902	337413	stat6	signal transducer and activator of transcription 6, interleukin-4 induced
ENSDARG00000015905	792832	lztr1	leucine-zipper-like transcription regulator 1
ENSDARG00000015906	58078	mxtx2	mix-type homeobox gene 2
ENSDARG00000015907	664747	dcbld1	discoidin, CUB and LCCL domain containing 1
ENSDARG00000015915	558307	slc25a36b	solute carrier family 25 member 36b
ENSDARG00000015917	406509	rnft1	ring finger protein, transmembrane 1
ENSDARG00000015918	324201	dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
ENSDARG00000015921	393262	pwp1	PWP1 homolog, endonuclein
ENSDARG00000015922	777621	stk17al	serine/threonine kinase 17a like
ENSDARG00000015930	436808	rwdd1	RWD domain containing 1
ENSDARG00000015931	559029	snap91b	synaptosome associated protein 91b
ENSDARG00000015937	445248	kptn	kaptin (actin binding protein)
ENSDARG00000015946	100333377	slc44a1a	solute carrier family 44 member 1a
ENSDARG00000015947	497348	matn4	matrilin 4
ENSDARG00000015955	81582	cldnc	claudin c
ENSDARG00000015964	751666	zgc:153311	zgc:153311
ENSDARG00000015966	692296	yaf2	YY1 associated factor 2
ENSDARG00000015968	393915	rabgef1l	RAB guanine nucleotide exchange factor (GEF) 1, like
ENSDARG00000015970	569727	phip	pleckstrin homology domain interacting protein
ENSDARG00000015971	394101	rapgef1b	Rap guanine nucleotide exchange factor (GEF) 1b
ENSDARG00000015978	415253	zgc:86599	zgc:86599
ENSDARG00000015985	561160	abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ENSDARG00000015989	393316	zdhhc16b	zinc finger DHHC-type palmitoyltransferase 16b
ENSDARG00000015990	564853	hcfc1a	host cell factor C1a
ENSDARG00000015997	436986	mfsd5	major facilitator superfamily domain containing 5
ENSDARG00000015998	436999	wdhd1	WD repeat and HMG-box DNA binding protein 1
ENSDARG00000016010	562350	nup107	nucleoporin 107
ENSDARG00000016011	492483	gpcpd1	glycerophosphocholine phosphodiesterase 1
ENSDARG00000016016	553729	dbnlb	drebrin-like b
ENSDARG00000016022	403041	zic5	zic family member 5 (odd-paired homolog, Drosophila)
ENSDARG00000016038	393441	hacd3	3-hydroxyacyl-CoA dehydratase 3
ENSDARG00000016044	572562	gins4	GINS complex subunit 4 (Sld5 homolog)
ENSDARG00000016048	436958	gpat3	glycerol-3-phosphate acyltransferase 3
ENSDARG00000016056	550603	mhc1laa	major histocompatibility complex class I LAA
ENSDARG00000016058	393381	fibpa	fibroblast growth factor (acidic) intracellular binding protein a
ENSDARG00000016059	405821	rab5b	RAB5B, member RAS oncogene family
ENSDARG00000016065	403126	tlr3	toll-like receptor 3
ENSDARG00000016074	407640	cryz	crystallin, zeta (quinone reductase)
ENSDARG00000016080	557254	nob1	NIN1 (RPN12) binding protein 1 homolog
ENSDARG00000016081	81591	cldn15la	claudin 15-like a
ENSDARG00000016084	557906	spsb4a	splA/ryanodine receptor domain and SOCS box containing 4a
ENSDARG00000016085	567027	mbnl3	muscleblind-like splicing regulator 3
ENSDARG00000016086	321695	smurf1	SMAD specific E3 ubiquitin protein ligase 1
ENSDARG00000016088	569502	rtn2a	reticulon 2a
ENSDARG00000016089	559084	bicral	BRD4 interacting chromatin remodeling complex associated protein like
ENSDARG00000016093	402798	qtrt2	queuine tRNA-ribosyltransferase accessory subunit 2
ENSDARG00000016095	568269	htr6	5-hydroxytryptamine (serotonin) receptor 6
ENSDARG00000016112	570583	bbs12	Bardet-Biedl syndrome 12
ENSDARG00000016117	334455	exd2	exonuclease 3'-5' domain containing 2
ENSDARG00000016122	563207	ptrhd1	peptidyl-tRNA hydrolase domain containing 1
ENSDARG00000016128	415244	ap3m2	adaptor related protein complex 3 subunit mu 2
ENSDARG00000016132	321837	keap1a	kelch-like ECH-associated protein 1a
ENSDARG00000016138	58120	nme6	NME/NM23 nucleoside diphosphate kinase 6
ENSDARG00000016139	393134	mkks	McKusick-Kaufman syndrome
ENSDARG00000016141	565776	slc6a2	solute carrier family 6 member 2
ENSDARG00000016143	373108	xiap	X-linked inhibitor of apoptosis
ENSDARG00000016153	286829	dag1	dystroglycan 1
ENSDARG00000016154	561280	zfp36l1a	zinc finger protein 36, C3H type-like 1a
ENSDARG00000016156	406586	fam53b	family with sequence similarity 53 member B
ENSDARG00000016160	553639	gmpr	guanosine monophosphate reductase
ENSDARG00000016161	791129	ccdc170	coiled-coil domain containing 170
ENSDARG00000016163	406508	usp33	ubiquitin specific peptidase 33
ENSDARG00000016173	192327	cct3	chaperonin containing TCP1, subunit 3 (gamma)
ENSDARG00000016177	541411	eif4enif1	eukaryotic translation initiation factor 4E nuclear import factor 1
ENSDARG00000016181	324053	trim33	tripartite motif containing 33
ENSDARG00000016188	100002292	si:ch73-63e15.2	si:ch73-63e15.2
ENSDARG00000016200	405805	trib3	tribbles pseudokinase 3
ENSDARG00000016207	550260	zgc:112408	zgc:112408
ENSDARG00000016212	100529857	nup214	nucleoporin 214
ENSDARG00000016213	556557	zmp:0000001048	zmp:0000001048
ENSDARG00000016227	100150607	mhc1lba	major histocompatibility complex class I LBA
ENSDARG00000016231	554151	bcap29	B cell receptor associated protein 29
ENSDARG00000016233	405814	sdr16c5a	short chain dehydrogenase/reductase family 16C, member 5a
ENSDARG00000016238	436790	arl6ip5b	ADP-ribosylation factor-like 6 interacting protein 5b
ENSDARG00000016239	393922	psmd13	proteasome 26S subunit, non-ATPase 13
ENSDARG00000016253	492355	ralab	v-ral simian leukemia viral oncogene homolog Ab (ras related)
ENSDARG00000016255	393164	chmp4ba	charged multivesicular body protein 4Ba
ENSDARG00000016256	394120	nudt3a	nudix (nucleoside diphosphate linked moiety X)-type motif 3a
ENSDARG00000016260	393180	fxr2	fragile X mental retardation, autosomal homolog 2
ENSDARG00000016263	571795	zdhhc5a	zinc finger DHHC-type palmitoyltransferase 5a
ENSDARG00000016280	393440	eif1ad	eukaryotic translation initiation factor 1A domain containing
ENSDARG00000016290	334289	clca1	chloride channel accessory 1
ENSDARG00000016301	335798	zgc:65894	zgc:65894
ENSDARG00000016302	406783	upf1	UPF1 RNA helicase and ATPase
ENSDARG00000016304	393749	tfdp1b	transcription factor Dp-1, b
ENSDARG00000016307	436791	mrpl46	mitochondrial ribosomal protein L46
ENSDARG00000016311	100151488	dock9b	dedicator of cytokinesis 9b
ENSDARG00000016318	326098	med7	mediator complex subunit 7
ENSDARG00000016319	554141	c9	complement component 9
ENSDARG00000016336	559069	tmco6	transmembrane and coiled-coil domains 6
ENSDARG00000016337	564250	lctlb	lactase-like b
ENSDARG00000016343	436634	mettl21e	methyltransferase like 21e
ENSDARG00000016345	447849	ncoa5	nuclear receptor coactivator 5
ENSDARG00000016348	568954	dip2bb	disco-interacting protein 2 homolog Bb
ENSDARG00000016350	334527	cap1	CAP, adenylate cyclase-associated protein 1 (yeast)
ENSDARG00000016357	794311	fmo5	flavin containing dimethylaniline monoxygenase 5
ENSDARG00000016360	572542	kpna1	karyopherin alpha 1 (importin alpha 5)
ENSDARG00000016363	323656	her8a	hairy-related 8a
ENSDARG00000016364	445232	gna15.1	guanine nucleotide binding protein (G protein), alpha 15 (Gq class), tandem duplicate 1
ENSDARG00000016368	550382	zbtb8os	zinc finger and BTB domain containing 8 opposite strand
ENSDARG00000016375	394138	asns	asparagine synthetase
ENSDARG00000016391	386968	calcoco1b	calcium binding and coiled-coil domain 1b
ENSDARG00000016393	327026	arf2b	ADP-ribosylation factor 2b
ENSDARG00000016396	445197	fam219aa	family with sequence similarity 219 member Aa
ENSDARG00000016399	406268	riok1	RIO kinase 1 (yeast)
ENSDARG00000016404	30189	ptch1	patched 1
ENSDARG00000016412	322485	agt	angiotensinogen
ENSDARG00000016415	494076	dhtkd1	dehydrogenase E1 and transketolase domain containing 1
ENSDARG00000016421	493630	crygm1	crystallin, gamma M1
ENSDARG00000016427	569539	fignl1	fidgetin-like 1
ENSDARG00000016429	567490	farp2	FERM, RhoGEF and pleckstrin domain protein 2
ENSDARG00000016439	559627	slc7a1a	solute carrier family 7 member 1a
ENSDARG00000016443	334234	eif3c	eukaryotic translation initiation factor 3, subunit C
ENSDARG00000016447	327606	ythdf1	YTH N(6)-methyladenosine RNA binding protein 1
ENSDARG00000016448	30518	vtg3	vitellogenin 3, phosvitinless
ENSDARG00000016454	317734	esr2a	estrogen receptor 2a
ENSDARG00000016457	403013	irf9	interferon regulatory factor 9
ENSDARG00000016460	796410	fut9a	fucosyltransferase 9a
ENSDARG00000016463	450008	trappc6b	trafficking protein particle complex 6b
ENSDARG00000016464	566003	cdc42bpab	CDC42 binding protein kinase alpha (DMPK-like) b
ENSDARG00000016470	337132	anxa5b	annexin A5b
ENSDARG00000016474	406385	galcb	galactosylceramidase b
ENSDARG00000016477	406760	eif4a2	eukaryotic translation initiation factor 4A, isoform 2
ENSDARG00000016479	641479	ugt5a1	UDP glucuronosyltransferase 5 family, polypeptide A1
ENSDARG00000016480	795293	slc17a7a	solute carrier family 17 member 7a
ENSDARG00000016481	393438	ptpn2a	protein tyrosine phosphatase non-receptor type 2a
ENSDARG00000016483	394210	baiap2l2a	BAR/IMD domain containing adaptor protein 2 like 2a
ENSDARG00000016484	613144	dkc1	dyskeratosis congenita 1, dyskerin
ENSDARG00000016490	573631	rab11fip3	RAB11 family interacting protein 3 (class II)
ENSDARG00000016494	406651	ddc	dopa decarboxylase
ENSDARG00000016496	373868	cdk8	cyclin-dependent kinase 8
ENSDARG00000016505	393607	apbb1ip	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein
ENSDARG00000016513	337193	setd3	SET domain containing 3, actin histidine methyltransferase
ENSDARG00000016514	323239	gtf2h2	general transcription factor IIH, polypeptide 2
ENSDARG00000016516	503767	rbm8a	RNA binding motif protein 8A
ENSDARG00000016519	492343	ctdnep1a	CTD nuclear envelope phosphatase 1a
ENSDARG00000016526	30458	gata3	GATA binding protein 3
ENSDARG00000016527	562461	helz2a	helicase with zinc finger 2a
ENSDARG00000016528	541407	wdcp	WD repeat and coiled coil containing
ENSDARG00000016531	559349	klhl4	kelch-like family member 4
ENSDARG00000016532	558218	suco	SUN domain containing ossification factor
ENSDARG00000016536	352934	npas2	neuronal PAS domain protein 2
ENSDARG00000016538	393114	ovch1	ovochymase 1
ENSDARG00000016541	561954	sash3	SAM and SH3 domain containing 3
ENSDARG00000016543	550390	mrm3a	mitochondrial rRNA methyltransferase 3a
ENSDARG00000016545	562075	zgc:154046	zgc:154046
ENSDARG00000016548	561194	eif5b	eukaryotic translation initiation factor 5B
ENSDARG00000016551	100148736	iqsec1b	IQ motif and Sec7 domain ArfGEF 1b
ENSDARG00000016570	407651	prlra	prolactin receptor a
ENSDARG00000016573	794708	mroh1	maestro heat-like repeat family member 1
ENSDARG00000016584	436814	rgs7a	regulator of G protein signaling 7a
ENSDARG00000016594	436698	haus4	HAUS augmin-like complex, subunit 4
ENSDARG00000016598	321892	ckmt1	creatine kinase, mitochondrial 1
ENSDARG00000016605	561422	pimr110	Pim proto-oncogene, serine/threonine kinase, related 110
ENSDARG00000016607	338247	echdc2	enoyl CoA hydratase domain containing 2
ENSDARG00000016611	326058	scrn3	secernin 3
ENSDARG00000016613	564111	mcat	malonyl CoA:ACP acyltransferase (mitochondrial)
ENSDARG00000016623	768159	si:ch211-195b13.1	si:ch211-195b13.1
ENSDARG00000016630	558883	tprb	translocated promoter region b, nuclear basket protein
ENSDARG00000016649	436642	akr7a3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
ENSDARG00000016651	437005	znf106a	zinc finger protein 106a
ENSDARG00000016656	494097	mgme1	mitochondrial genome maintenance exonuclease 1
ENSDARG00000016664	402838	rnf20	ring finger protein 20, E3 ubiquitin protein ligase
ENSDARG00000016667	558708	gabbr1b	gamma-aminobutyric acid (GABA) B receptor, 1b
ENSDARG00000016674	100006932	trim35-4	tripartite motif containing 35-4
ENSDARG00000016676	393760	gnao1a	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O, a
ENSDARG00000016687	573723	acadvl	acyl-CoA dehydrogenase very long chain
ENSDARG00000016691	406737	cd9b	CD9 molecule b
ENSDARG00000016695	387296	p2rx1	purinergic receptor P2X, ligand-gated ion channel, 1
ENSDARG00000016699	474351	trpa1a	transient receptor potential cation channel, subfamily A, member 1a
ENSDARG00000016704	100000319	pbld	phenazine biosynthesis like protein domain containing
ENSDARG00000016706	140622	atic	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ENSDARG00000016710	321875	rchy1	ring finger and CHY zinc finger domain containing 1
ENSDARG00000016718	565793	mmp11b	matrix metallopeptidase 11b
ENSDARG00000016721	393884	sdha	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
ENSDARG00000016724	556473	zgc:162339	zgc:162339
ENSDARG00000016725	406507	gadd45gb.1	growth arrest and DNA-damage-inducible, gamma b, tandem duplicate 1
ENSDARG00000016730	100170804	rfxank	regulatory factor X-associated ankyrin-containing protein
ENSDARG00000016733	327512	psat1	phosphoserine aminotransferase 1
ENSDARG00000016739	564462	lrrc4cb	leucine rich repeat containing 4C, genome duplicate b
ENSDARG00000016742	337556	rgs7bpb	regulator of G protein signaling 7 binding protein b
ENSDARG00000016743	562704	angel2	angel homolog 2 (Drosophila)
ENSDARG00000016745	436832	slc35f6	solute carrier family 35 member F6
ENSDARG00000016749	562772	slco1c1	solute carrier organic anion transporter family, member 1C1
ENSDARG00000016750	566555	abcc6a	ATP-binding cassette, sub-family C (CFTR/MRP), member 6a
ENSDARG00000016753	406860	ipo9	importin 9
ENSDARG00000016754	394029	tbca	tubulin cofactor a
ENSDARG00000016763	100002269	znf292a	zinc finger protein 292a
ENSDARG00000016765	492473	scamp3	secretory carrier membrane protein 3
ENSDARG00000016769	431772	sgtb	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta
ENSDARG00000016771	30255	tfa	transferrin-a
ENSDARG00000016773	100136861	cishb	cytokine inducible SH2-containing protein b
ENSDARG00000016774	100334463	plekho2	pleckstrin homology domain containing, family O member 2
ENSDARG00000016775	393436	aqr	aquarius intron-binding spliceosomal factor
ENSDARG00000016782	559439	huwe1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1
ENSDARG00000016783	494133	srsf6b	serine and arginine rich splicing factor 6b
ENSDARG00000016788	100004929	zeb1a	zinc finger E-box binding homeobox 1a
ENSDARG00000016789	767741	zgc:152891	zgc:152891
ENSDARG00000016793	560055	crybb1l2	crystallin, beta B1, like 2
ENSDARG00000016794	327346	mtmr6	myotubularin related protein 6
ENSDARG00000016809	445076	prkacab	protein kinase, cAMP-dependent, catalytic, alpha, genome duplicate b
ENSDARG00000016811	560575	ints3	integrator complex subunit 3
ENSDARG00000016815	566485	cfap94	cilia and flagella associated protein 94
ENSDARG00000016818	735310	abcg2d	ATP-binding cassette, sub-family G (WHITE), member 2d
ENSDARG00000016825	559229	vtg6	vitellogenin 6
ENSDARG00000016830	447815	rimkla	ribosomal modification protein rimK-like family member A
ENSDARG00000016835	100003139	tcirg1a	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3a
ENSDARG00000016837	449805	glipr2l	GLI pathogenesis-related 2, like
ENSDARG00000016854	114435	neurod2	neuronal differentiation 2
ENSDARG00000016855	436751	sf3b5	splicing factor 3b, subunit 5
ENSDARG00000016856	335176	pon2	paraoxonase 2
ENSDARG00000016858	326282	smad7	SMAD family member 7
ENSDARG00000016864	493608	farsb	phenylalanyl-tRNA synthetase subunit beta
ENSDARG00000016866	767674	fam102ab	family with sequence similarity 102 member Ab
ENSDARG00000016867	322325	rnf128a	ring finger protein 128a
ENSDARG00000016868	553415	rhobtb4	Rho related BTB domain containing 4
ENSDARG00000016871	322248	smarce1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
ENSDARG00000016875	394155	gys1	glycogen synthase 1 (muscle)
ENSDARG00000016886	554091	dnajb9b	DnaJ heat shock protein family (Hsp40) member B9b
ENSDARG00000016889	393974	eif3g	eukaryotic translation initiation factor 3, subunit G
ENSDARG00000016897	560664	fbxo15	F-box protein 15
ENSDARG00000016903	406372	wdr5	WD repeat domain 5
ENSDARG00000016904	282677	bckdk	branched chain ketoacid dehydrogenase kinase
ENSDARG00000016908	100126104	zp3e	zona pellucida glycoprotein 3e
ENSDARG00000016918	492331	ace2	angiotensin I converting enzyme 2
ENSDARG00000016923	NA	NA	NA
ENSDARG00000016934	436763	ttyh2	tweety family member 2
ENSDARG00000016936	559150	hmcn1	hemicentin 1
ENSDARG00000016939	557797	itgb2	integrin, beta 2
ENSDARG00000016951	114411	neurog3	neurogenin 3
ENSDARG00000016963	100534752	slc16a1a	solute carrier family 16 member 1a
ENSDARG00000016964	550408	zgc:165532	zgc:165532
ENSDARG00000016968	402840	tmem214	transmembrane protein 214
ENSDARG00000016977	393512	snx27b	sorting nexin 27b
ENSDARG00000016979	503532	pmpcb	peptidase, mitochondrial processing subunit beta
ENSDARG00000016981	570610	bcar3	BCAR3 adaptor protein, NSP family member
ENSDARG00000016994	449949	ssrp1b	structure specific recognition protein 1b
ENSDARG00000016999	394066	lin28a	lin-28 homolog A (C. elegans)
ENSDARG00000017004	569779	myo10	myosin X
ENSDARG00000017006	799847	dennd5a	DENN/MADD domain containing 5A
ENSDARG00000017007	100008101	nr4a2a	nuclear receptor subfamily 4, group A, member 2a
ENSDARG00000017010	334500	scamp2l	secretory carrier membrane protein 2, like
ENSDARG00000017014	503763	ywhae2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 2
ENSDARG00000017023	504040	ak7b	adenylate kinase 7b
ENSDARG00000017034	550580	sqor	sulfide quinone oxidoreductase
ENSDARG00000017036	100006087	svilc	supervillin c
ENSDARG00000017037	541530	ikbkg	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
ENSDARG00000017038	557059	zgc:152670	zgc:152670
ENSDARG00000017047	550432	slc27a4	solute carrier family 27 member 4
ENSDARG00000017049	334431	adsl	adenylosuccinate lyase
ENSDARG00000017055	492338	zmynd12	zinc finger, MYND-type containing 12
ENSDARG00000017058	446214	large2	LARGE xylosyl- and glucuronyltransferase 2
ENSDARG00000017067	393310	chordc1b	cysteine and histidine-rich domain (CHORD) containing 1b
ENSDARG00000017078	58069	mespaa	mesoderm posterior aa
ENSDARG00000017084	445383	bud31	BUD31 homolog
ENSDARG00000017086	322927	asb12a	ankyrin repeat and SOCS box-containing 12a
ENSDARG00000017093	406679	emc8	ER membrane protein complex subunit 8
ENSDARG00000017105	550487	vaspb	vasodilator stimulated phosphoprotein b
ENSDARG00000017107	445214	nr2e1	nuclear receptor subfamily 2, group E, member 1
ENSDARG00000017108	571208	kcna1b	potassium voltage-gated channel, shaker-related subfamily, member 1b
ENSDARG00000017111	100537042	fam8a1a	family with sequence similarity 8 member A1a
ENSDARG00000017115	406787	kctd10	potassium channel tetramerization domain containing 10
ENSDARG00000017119	336368	vps37a	VPS37A subunit of ESCRT-I
ENSDARG00000017121	30210	mafba	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog Ba
ENSDARG00000017126	393639	ilvbl	ilvB (bacterial acetolactate synthase)-like
ENSDARG00000017127	368722	pdzk1ip1	PDZK1 interacting protein 1
ENSDARG00000017128	559066	myofl	myoferlin like
ENSDARG00000017140	393431	zgc:63587	zgc:63587
ENSDARG00000017141	559087	pla2g4ab	phospholipase A2, group IVAb (cytosolic, calcium-dependent)
ENSDARG00000017143	393245	brd9	bromodomain containing 9
ENSDARG00000017154	564291	cables2b	Cdk5 and Abl enzyme substrate 2b
ENSDARG00000017155	30171	wnt10a	wingless-type MMTV integration site family, member 10a
ENSDARG00000017162	100333558	kif3c	kinesin family member 3C
ENSDARG00000017163	393399	sinup	siaz-interacting nuclear protein
ENSDARG00000017165	557757	slc3a1	solute carrier family 3 member 1
ENSDARG00000017168	393564	nr2f1b	nuclear receptor subfamily 2, group F, member 1b
ENSDARG00000017173	571522	si:dkey-29p10.4	si:dkey-29p10.4
ENSDARG00000017174	30557	dlx2b	distal-less homeobox 2b
ENSDARG00000017180	553330	npc1	Niemann-Pick disease, type C1
ENSDARG00000017188	558615	zpax2	zona pellucida protein AX 2
ENSDARG00000017193	567396	cnn1a	calponin 1, basic, smooth muscle, a
ENSDARG00000017195	407681	foxf2a	forkhead box F2a
ENSDARG00000017199	560338	elp2	elongator acetyltransferase complex subunit 2
ENSDARG00000017211	570222	plxnb1b	plexin b1b
